Reaction Info,,,,,,,,,,,,,,,,,,,,,,
,arg 2+,arg +,arg,arg-,,,,,,,,,,,,,,,,,,
n(org),1,1,1,1,,,,,,,,,,,,,,,,,,
"n(H2,aq)",11,11,11,11,,,,,,,,,,,,,,,,,,
n(C),6,6,6,6,,,,,,,,,,,,,,,,,,
n(NH4+),4,4,4,4,,,,,,,,,,,,,,,,,,
n(H+),2,3,4,5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Temperature,200,C,logK,49.408,47.0486,6.8631,31.6099,,,,,,,,,,,,,,
,Shallow rocks,,,,,pka1,2.360,pka2,7.5523,pka3,7.886,,,,,,,,,,,
,pH,"H2,aq","CO2,aq",NH4+,arg 2+,"Affinity/n(H2,aq)",arg +,"Affinity/n(H2,aq)",arg,"Affinity/n(H2,aq)",arg-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,,,
High C,5.9978,-5.7976,-0.4992,-3.55789,63.00476,-11.19813114,57.00696,-8.201587821,51.00916,-36.35817424,63.3635,-26.15189038,-8.972184824,,,,,,,,,
Low C,5.9978,-5.7976,-0.4992,-4.37309,66.26556,-13.88368755,60.26776,-10.88714423,54.26996,-39.04373066,71.5155,-32.86578141,-11.65915452,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Deep rocks,,,,,pka1,2.360,pka2,7.5523,pka3,7.886,,,,,,,,,,,
,pH,"H2,aq","CO2,aq",,arg 2+,"Affinity/n(H2,aq)",arg +,"Affinity/n(H2,aq)",arg,"Affinity/n(H2,aq)",arg-,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,,,
High C,8.5058,-2.2617,-3.0881,-5.83712,43.74418,4.664655338,35.23838,9.726757871,26.73258,-16.36426934,34.7209,-2.562182901,-4.918024669,,,,,,,,,
Low C,8.5058,-2.2617,-3.0881,-6.65232,47.00498,1.979098925,38.49918,7.041201458,29.99338,-19.04982575,42.8729,-9.276073935,-10.78374798,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shallow rock,Activity (pH = 8.5) High and High,,,,arg 2+,,,arg +,,,arg,,,arg-,,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,pka3,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,,-6,2.852750093,2.072,8.665,9.9854,2.852750093,,
