Reaction Info,,,,,,,,,,,,,,,,,,
,Phenylalanine+,Phenylalanine,Phenylalanine,,,,,,,,,,,,,,,
n(org),1,1,1,,,,,,,,,,,,,,,
"n(H2,aq)",20,20,20,,,,,,,,,,,,,,,
n(C),9,9,9,,,,,,,,,,,,,,,
n(NH4+),1,1,1,,,,,,,,,,,,,,,
n(H+),0,1,2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Temperature,200,C,logK,0.3817,-1.0138,-9.3821,,,,,,,,,,,
,Shallow rocks,,,,,pka1,2.5831,pka2,7.1758,,,,,,,,,
,pH,"H2,aq","CO2,aq",NH4+,Phenylalanine+,"Affinity/n(H2,aq)",Phenylalanine,"Affinity/n(H2,aq)",Phenylalanine,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,
High C,5.9978,-5.7976,-0.4992,-3.55789,118.00269,-53.27919291,112.00489,-51.19447292,106.00709,-52.26824663,-51.26203578,,,,,,,
Low C,5.9978,-5.7976,-0.4992,-4.37309,118.81789,-53.64845692,112.82009,-51.56373692,106.82229,-52.63751063,-51.63129979,,,,,,,
,,,,,,,,,,,,,,,,,,
,Deep rocks,,,,,pka1,2.5831,pka2,7.1758,,,,,,,,,
,pH,"H2,aq","CO2,aq",,Phenylalanine+,"Affinity/n(H2,aq)",Phenylalanine,"Affinity/n(H2,aq)",Phenylalanine,"Affinity/n(H2,aq)",Affinity (tot),,,,,,,
High C,8.5058,-2.2617,-3.0881,-5.83712,72.86402,-32.83257104,64.35822,-29.61179348,55.85242,-29.54950962,-29.55229286,,,,,,,
Low C,8.5058,-2.2617,-3.0881,-6.65232,73.67922,-33.20183505,65.17342,-29.98105748,56.66762,-29.91877363,-29.92155686,,,,,,,
,,,,,,,,,,,,,,,,,,
Shallow Rock,Activity (pH = 8.5) High C and High H,,,,Phenylalanine+,,,Phenylalanine,,,Phenylalanine,,,,,,,
Temperature,H+,"H2,aq","CO2,aq",NH4+,log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),log K(T),log Q(T),Affinity/n(H2),pka1,pka2,Affinity (tot),,pH
°C,,,,,,,,,,,,,,,,,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
,,,,,,-6,1.569012551,,-6,1.569012551,,-6,1.569012551,,,1.569012551,,
